# Добавить сюда своих вопросов. Эту строку надо пропустить при настройке CsvToBean (withSkipLines)
Какого цвета красный бластер Джима?;Синий%false|Зеленый%true|Желтый%false
Как Джим пишет свое имя?;ДЖМИ%false|МИЖД%true|ИДЖМ%false
Если бы Дэн застрял в Мехико, сколько дней прошло бы, прежде чем он поел?;Дэн-Количество_еды=Время%false|Мексиканская еда – зло%false|Мексиканская еда – объедение. Дэн – зло%true
Когда день рождения Джима?;День, когда он родился%false|9 июня 1994 года%true|Сегодня, если у тебя уже есть подарок%false
Какое настоящее имя у принцессы Как-её-там?;Как-её-там%true|ЭЙ, ТЫ!%false|Чип Батти%false
Джим говорит по-французски?;Уии%false|Но%true|Мишель, ма белль, со ле мо кё вон тре бьян энсамблё%false
У Джима есть пиранья в аквариуме?;А%false|Б%false|и А и Б%true
Как можно легко пройти этот уровень?;Нажать кнопку "Сброс"%true|Идти по пути наименьшего сопротивления%false|Что!? Да ты уже почти закончил!%false
Если курение вызывает рак, то что вызывает Козерог?;Неудобную обувь на юге Франции%false|Зубную нить%false|Полтора фунта масла%true
Кто царь зверей в Африке?;МаримБа%false|Помогите, я не умею плаБать%false|Земляной червяк ДжимБа%true
Кто ты?;Кто, кто, кто, кто?%true|Знал бы я%false|Нет, ты скажи мне, кто ты?%false
Семью семь:;49%false|Сорок девять%false|Ну же, мне действительно нужно получить это усиление!%true
W.W.W. означает:;пВаксивый пВутоватый кВолик%true|Всемирная Война Выиграна%false|Давай дальше!%false
Может ли Психо-Ворон победить Джима в армрестлинге?;Да%false|У Джима нет рук%true|Нет%false
Какая у Джима любимая файтинг игра?;Смертельный Вомбат 4%false|Замедление Самурая%true|Выбей из неё всю вонь%false
Когда щенок Питер злится, то он:;Считает до 10%false|Ведет себя так, будто его облучили гамма-лучами%true|Притворяется участником рок-группы и громит номера в отелях%false
